epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.654,1.76341,4.87094,1.47476,0.64461,0.06024,0.04314,0.03007,1.22821,3.76864,1.12112,4.95403e-05,4.95403e-05,4.95403e-05
2,307.871,1.36599,3.76914,1.19865,0.4891,0.16689,0.11352,0.07984,1.15184,2.65691,1.13331,9.72427e-05,9.72427e-05,9.72427e-05
3,445.458,1.30319,2.85007,1.18302,0.6371,0.20532,0.21199,0.1504,1.11335,1.91056,1.11834,0.000142978,0.000142978,0.000142978
4,584.447,1.24088,2.24566,1.1511,0.62802,0.29789,0.30208,0.21952,1.05933,1.51046,1.08344,0.000140149,0.000140149,0.000140149
5,723.715,1.20793,1.93414,1.1266,0.73305,0.35135,0.36555,0.26589,1.01524,1.30342,1.0651,0.000137199,0.000137199,0.000137199
6,860.766,1.17649,1.75028,1.11516,0.79111,0.38717,0.40978,0.30173,1.00142,1.18416,1.0621,0.000134249,0.000134249,0.000134249
7,998.015,1.13607,1.58118,1.10222,0.83921,0.40278,0.44382,0.32841,0.99582,1.09052,1.05618,0.000131299,0.000131299,0.000131299
8,1135.11,1.11867,1.4839,1.09184,0.82168,0.43254,0.46847,0.35132,0.95901,1.03185,1.03729,0.000128349,0.000128349,0.000128349
9,1271.86,1.09249,1.43276,1.07986,0.77675,0.46487,0.48101,0.36278,0.95093,0.9822,1.03391,0.000125398,0.000125398,0.000125398
10,1409.16,1.07377,1.34189,1.06312,0.81538,0.45435,0.49787,0.37671,0.9448,0.93467,1.03687,0.000122448,0.000122448,0.000122448
11,1546.26,1.06161,1.29313,1.06465,0.83652,0.45085,0.50441,0.38219,0.9313,0.90993,1.03267,0.000119498,0.000119498,0.000119498
12,1683.12,1.04811,1.2552,1.05402,0.8375,0.46578,0.53603,0.41315,0.9196,0.86405,1.02559,0.000116548,0.000116548,0.000116548
13,1820.43,1.02529,1.21596,1.03963,0.8151,0.47538,0.56093,0.43393,0.90217,0.83639,1.01459,0.000113598,0.000113598,0.000113598
14,1956.86,1.03081,1.20047,1.04903,0.74601,0.54745,0.56121,0.43263,0.89813,0.80755,1.01315,0.000110647,0.000110647,0.000110647
